,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
15153,"Holiday Inn Athens Attica Av, Airport W., an IHG Hotel",8.3,Athens,Very Good ,"1,675 reviews",Price 603 zł,12.7 km from center,Standard King Room with Extra Bed - Non-Smoking,4,,
15154,Electra Hotel Athens,8.8,"Syntagma, Athens",Excellent ,"2,940 reviews",Price 594 zł,150 m from center,Classic Single Room,4,Breakfast included,Location 9.8
15155,The monumental house,8.2,"Syntagma, Athens",Very Good ,228 reviews,Original price 141 zł. Current price 127 zł.,450 m from center,Budget Double Room,0,,Location 9.7
15156,Melia Athens,7.9,"Athens City Centre, Athens",Good ,"1,591 reviews",Original price 572 zł. Current price 489 zł.,1.2 km from center,Meliá Room,4,,
15157,Kimon Hotel Athens,8.5,"Plaka, Athens",Very Good ,"1,291 reviews",Price 190 zł,400 m from center,Petite Internal Room,1,,Location 9.7
15158,Hermes Hotel,8.4,"Plaka, Athens",Very Good ,"1,206 reviews",Original price 382 zł. Current price 345 zł.,350 m from center,Economy Room,3,Breakfast included,Location 9.5
15159,Electra Palace Athens,8.9,"Plaka, Athens",Excellent ,"3,714 reviews",Price 654 zł,350 m from center,Classic Single Room,5,Breakfast included,Location 9.7
15160,Pallada Athens boutique rooms & apartments,8.5,"Psiri, Athens",Very Good ,396 reviews,Original price 524 zł. Current price 392 zł.,0.9 km from center,Deluxe Double or Twin Room,0,Breakfast included,
15161,Plaka Hotel,8.7,"Plaka, Athens",Excellent ,"2,968 reviews",Original price 406 zł. Current price 366 zł.,0.6 km from center,Economy Room,3,Breakfast included,Location 9.8
15162,PAME Wild,9.2,"Athens City Centre, Athens",Wonderful ,72 reviews,Price 235 zł,1.7 km from center,Double comfort,0,,
15163,Carolina Hotel since 1934,7.9,"Syntagma, Athens",Good ,701 reviews,Original price 303 zł. Current price 283 zł.,0.6 km from center,Roof garden - Single room,3,Breakfast included,Location 9.4
15164,The Vault Athens,8.9,"Syntagma, Athens",Excellent ,88 reviews,Original price 509 zł. Current price 433 zł.,0.6 km from center,Standard Room with City view,4,Breakfast included,Location 9.3
15165,The Historical Center Studios,6.4,"Athens City Centre, Athens",Review score ,985 reviews,Price 94 zł,1.3 km from center,Double Room with Private Bathroom,3,,
15166,ACROPOLIS CITY LIFE BOUTIQUE HOTEL,9.3,"Psiri, Athens",Wonderful ,282 reviews,Price 439 zł,0.9 km from center,Superior King Room,0,Breakfast included,Location 9.7
15167,Hera Hotel,8.6,"Koukaki, Athens",Excellent ,369 reviews,Price 389 zł,1.1 km from center,Small Double Room,4,,Location 9.7
15168,City Circus Athens,9.0,"Psiri, Athens",Wonderful ,862 reviews,Original price 152 zł. Current price 122 zł.,1.1 km from center,Single Bed in 6-Bed Female Dormitory Room,0,,Location 9.5
15169,Athinais Hotel,8.6,"Athens City Centre, Athens",Excellent ,500 reviews,Price 335 zł,2.1 km from center,Twin Room,3,Breakfast included,
15170,Ilisia Hotel Athens,8.2,"Ilisia, Athens",Very Good ,511 reviews,Price 478 zł,1.5 km from center,Single Room,4,Breakfast included,
15171,Athens Mirabello,8.4,"Athens City Centre, Athens",Very Good ,"2,450 reviews",Price 197 zł,1.2 km from center,Single Room,3,Breakfast included,
15172,Bedway Athens Hostel,8.4,"Neos Kosmos, Athens",Very Good ,752 reviews,Price 54 zł,2 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
15173,Palmyra Beach Hotel,8.5,"Glyfada, Athens",Very Good ,"1,441 reviews",Price 324 zł,12.2 km from center,Double or Twin Room with Garden View,4,,
15174,Adrian Hotel,8.6,"Plaka, Athens",Excellent ,"1,701 reviews",Price 443 zł,0.7 km from center,Triple Room,3,Breakfast included,Location 9.8
15175,Nubian Hostel,8.8,"Exarcheia, Athens",Excellent ,568 reviews,Price 94 zł,1 km from center,Bed in 6-Bed Mixed Dormitory Room,0,Breakfast included,
15176,Apollo Hotel,7.8,"Metaxourgeio, Athens",Good ,899 reviews,Price 171 zł,1.7 km from center,Single Room,3,Breakfast included,
15177,Polis Grand Hotel,8.3,"Athens City Centre, Athens",Very Good ,"2,033 reviews",Price 436 zł,1.2 km from center,Superior Double or Twin Room,4,Breakfast included,
15178,Emporikon Athens Hotel,8.9,"Monastiraki, Athens",Excellent ,753 reviews,Original price 671 zł. Current price 474 zł.,0.7 km from center,Basic Room with city view,4,,Location 9.5
15179,The Modernist Athens,9.3,"Kolonaki, Athens",Wonderful ,780 reviews,Original price 835 zł. Current price 753 zł.,1.3 km from center,Standard Room,4,Breakfast included,Location 9.3
15180,Electra Metropolis,9.1,"Plaka, Athens",Wonderful ,"5,363 reviews",Price 878 zł,250 m from center,Classic Double or Twin Room,5,Breakfast included,Location 9.8
15181,BED in Athens,9.5,"Psiri, Athens",Exceptional ,"1,381 reviews",Original price 425 zł. Current price 340 zł.,1 km from center,Standard Double Room,0,,Location 9.7
15182,Cohort Koukaki,9.4,"Koukaki, Athens",Wonderful ,481 reviews,Original price 662 zł. Current price 529 zł.,1.3 km from center,Quadruple Room,4,,Location 9.7
15183,B4B Athens Signature Hotel,9.1,"Neos Kosmos, Athens",Wonderful ,"2,740 reviews",Price 536 zł,1.2 km from center,Comfort Double Room,4,Breakfast included,
15184,"Hub Suites, Luxury living in Athens",9.2,"Koukaki, Athens",Wonderful ,456 reviews,Price 422 zł,1.4 km from center,Double Room with Acropolis View,4,,Location 9.4
15185,Pagration Youth Hostel,8.8,"Pagkrati, Athens",Excellent ,571 reviews,Price 52 zł,1.7 km from center,Single Bed in 8-Bed Mixed Dormitory Room,0,,
