,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
0,"Radisson Blu Royal Hotel, Bergen",8.2,"Bergenhus, Bergen",Very Good ,"7,620 reviews",Price 574 zł,0.6 km from center,Standard Room,4,,Location 9.4
1,Moxy Bergen,8.3,"Årstad, Bergen",Very Good ,"2,170 reviews",Price 554 zł,1.6 km from center,"Standard, Guest room, 1 Queen",3,Breakfast included,
2,Citybox Bergen City,8.1,"Bergenhus, Bergen",Very Good ,"5,861 reviews",Price 444 zł,0.6 km from center,Single Room,3,,
3,Fabryka,7.7,"Bergenhus, Bergen",Good ,407 reviews,Price 184 zł,350 m from center,Budget Single Room,0,,Location 9.3
4,Comfort Hotel Bergen,8.0,"Bergenhus, Bergen",Very Good ,730 reviews,Original price 466 zł. Current price 434 zł.,0.6 km from center,Standard Double Room,3,Breakfast included,
5,Citybox Bergen Danmarksplass,8.4,"Årstad, Bergen",Very Good ,"2,935 reviews",Price 340 zł,2 km from center,Single Room,3,,
6,Det Hanseatiske Hotel,8.2,"Bergenhus, Bergen",Very Good ,"2,825 reviews","Original price 1,111 zł. Current price 889 zł.",350 m from center,Junior Suite,4,Breakfast included,Location 9.6
7,Magic Hotel Xhibition,7.2,"Bergenhus, Bergen",Good ,"1,180 reviews",Original price 466 zł. Current price 420 zł.,100 m from center,Single Room,3,,
8,Thon Hotel Orion,8.4,"Bergenhus, Bergen",Very Good ,837 reviews,Price 465 zł,0.7 km from center,Standard Double Room,4,Breakfast included,Location 9.3
9,Magic Hotel Korskirken,7.5,"Bergenhus, Bergen",Good ,"1,106 reviews",Original price 533 zł. Current price 480 zł.,250 m from center,Small Double Room - Atrium,4,Breakfast included,Location 9.3
10,Annehelenes B&B,8.9,"Bergenhus, Bergen",Excellent ,183 reviews,Price 334 zł,0.7 km from center,Small Double Room,0,,Location 9.5
11,Bergen Hostel Montana,8.4,"Årstad, Bergen",Very Good ,"2,336 reviews",Price 160 zł,3.3 km from center,Bed in 4-Bed Mixed Dormitory Room,0,Breakfast included,
12,Zander K Hotel,8.1,"Bergenhus, Bergen",Very Good ,"5,482 reviews",Original price 565 zł. Current price 480 zł.,0.7 km from center,Standard Queen Room,4,Breakfast included,
13,Quality Hotel Edvard Grieg,7.9,"Ytrebygda, Bergen",Good ,909 reviews,Original price 574 zł. Current price 534 zł.,11.3 km from center,Double Room,4,Breakfast included,
14,Magic Hotel & Apartments Kløverhuset,7.3,"Bergenhus, Bergen",Good ,953 reviews,Price 667 zł,150 m from center,Apartment,4,,Location 9.3
15,Thon Hotel Rosenkrantz Bergen,8.6,"Bergenhus, Bergen",Excellent ,386 reviews,Price 511 zł,450 m from center,"Small Double Room 9-11 mq - suggested for 1 person,",4,Breakfast included,Location 9.7
16,Augustin Hotel,7.4,"Bergenhus, Bergen",Good ,"3,572 reviews",Original price 450 zł. Current price 383 zł.,0.5 km from center,Standard Single Room,3,Breakfast included,
17,Clarion Hotel Bergen,8.1,"Bergenhus, Bergen",Very Good ,"1,231 reviews",Original price 631 zł. Current price 587 zł.,400 m from center,Standard Single Room,4,Breakfast included,Location 9.5
18,Hotel Park Bergen,8.6,"Bergenhus, Bergen",Excellent ,611 reviews,Price 574 zł,0.7 km from center,Single Room,3,Breakfast included,
19,Bergen Børs Hotel,8.4,"Bergenhus, Bergen",Very Good ,"2,472 reviews",Price 666 zł,100 m from center,Standard Single Room,5,Breakfast included,Location 9.7
20,Hotel Norge by Scandic,8.3,"Bergenhus, Bergen",Very Good ,"2,191 reviews",Price 755 zł,150 m from center,Single Room,5,Breakfast included,Location 9.6
21,"Thon Hotel Bristol, Bergen",8.5,"Bergenhus, Bergen",Very Good ,266 reviews,Price 551 zł,100 m from center,Standard Double Room,4,,Location 9.4
22,Scandic Byparken,7.6,"Bergenhus, Bergen",Good ,"1,738 reviews",Price 513 zł,300 m from center,Standard Single Room,4,Breakfast included,
23,Hordaheimen Hotel,6.9,"Bergenhus, Bergen",Review score ,510 reviews,Original price 458 zł. Current price 390 zł.,450 m from center,Economy Room,3,Breakfast included,
24,"Bergen Harbour Hotel, WorldHotels Crafted",8.3,"Bergenhus, Bergen",Very Good ,686 reviews,Price 448 zł,400 m from center,Economy Single Room,4,Breakfast included,Location 9.7
25,Zagreb Speeka,8.1,"Lower Town, Zagreb",Very Good ,690 reviews,Price 106 zł,450 m from center,Bed in 4-Bed Dormitory Room,0,,
26,Timeout Heritage Hotel Zagreb,7.7,"Lower Town, Zagreb",Good ,"2,688 reviews",Price 228 zł,300 m from center,Family Room with City View ,4,,Location 9.5
27,The Westin Zagreb,8.2,"Lower Town, Zagreb",Very Good ,"2,568 reviews",Price 500 zł,1.1 km from center,"Deluxe Queen Non Smoking, Guest room, 1 Queen, City view",5,,
28,HI Hostel Zagreb,6.8,"Lower Town, Zagreb",Review score ,"2,059 reviews",Price 78 zł,0.8 km from center,Single Bed in 6-Bed Dormitory Room,0,,
29,Dormir Apartments,9.3,Zagreb,Wonderful ,222 reviews,Price 211 zł,1.9 km from center,Apartment with Balcony,3,,
30,Funk Lounge Hostel,8.1,"Maksimir, Zagreb",Very Good ,"1,245 reviews",Price 83 zł,2.3 km from center,Single Bed in 4-Bed Dormitory Room,0,,
31,Chillout Hostel Zagreb,8.5,"Lower Town, Zagreb",Very Good ,"1,089 reviews",Price 63 zł,350 m from center,Single Bed in 6-Bed Dormitory Room,0,,Location 9.7
32,MANDA Heritage Hotel,9.2,"Lower Town, Zagreb",Wonderful ,"1,285 reviews",Price 336 zł,0.5 km from center,Standard King Room,0,,Location 9.6
33,Neno,7.8,"Maksimir, Zagreb",Good ,446 reviews,Price 94 zł,2.1 km from center,Double Room,0,,
34,Sheraton Zagreb Hotel,8.7,"Lower Town, Zagreb",Excellent ,"3,041 reviews",Price 524 zł,0.8 km from center,"Deluxe Queen Non Smoking, Guest room, 1 Queen",5,,
35,Piccolo Apartments,8.7,"Lower Town, Zagreb",Excellent ,653 reviews,Price 263 zł,0.8 km from center,Deluxe Studio,3,,Location 9.4
36,Hotel Dubrovnik,8.8,"Lower Town, Zagreb",Excellent ,"3,667 reviews",Price 500 zł,100 m from center,Standard Single Room,4,Breakfast included,Location 9.8
37,Main Square Hostel,8.4,"Upper Town – Medvescak, Zagreb",Very Good ,"1,749 reviews",Price 90 zł,100 m from center,Bed in 8-Bed Mixed Dormitory Room,0,Breakfast included,Location 9.7
38,Hotel Meridijan16,8.2,Zagreb,Very Good ,"1,723 reviews",Original price 336 zł. Current price 270 zł.,2 km from center,Single Room,3,Breakfast included,
39,Hotel International,8.8,Zagreb,Excellent ,"3,079 reviews",Price 439 zł,1.6 km from center,Classic Double or Twin Room,4,,
40,Art Hotel Like,7.9,"Lower Town, Zagreb",Good ,"2,633 reviews",Price 283 zł,0.5 km from center,Superior Single Room,3,,Location 9.3
41,Swanky Mint Hostel,8.7,"Lower Town, Zagreb",Excellent ,"1,389 reviews",Price 118 zł,0.7 km from center,Bunk Bed in 11-Bed Dormitory Room,0,,Location 9.6
42,Admiral Hotel,9.2,"Jarun, Zagreb",Wonderful ,"2,377 reviews",Price 668 zł,5 km from center,Single Room,4,Breakfast included,
43,Hotel Central,8.1,"Lower Town, Zagreb",Very Good ,"3,114 reviews",Price 345 zł,0.9 km from center,Comfort Single Room,3,Breakfast included,
44,Casablanca Boutique Bed&Breakfast,9.2,"Lower Town, Zagreb",Wonderful ,"1,078 reviews",Price 313 zł,1.2 km from center,Single Room,3,Breakfast included,
45,Hotel Croatia,8.9,"Upper Town – Medvescak, Zagreb",Excellent ,465 reviews,Price 304 zł,1.8 km from center,Twin Room,3,,
46,Hotel PARK 45,9.1,"Lower Town, Zagreb",Wonderful ,"2,184 reviews",Price 524 zł,0.7 km from center,Standard Single Room,4,Breakfast included,Location 9.8
47,Canopy by Hilton Zagreb City Centre,9.0,"Lower Town, Zagreb",Wonderful ,"1,827 reviews",Price 430 zł,1 km from center,Standard King Room,4,,
48,Rooms Zagreb 17,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,544 reviews,Price 253 zł,250 m from center,Comfort Double Room,4,,Location 9.9
49,Guest House Ilicki Plac,9.7,"Zagreb City Centre, Zagreb",Exceptional ,98 reviews,Price 188 zł,1 km from center,Studio with Balcony,3,,Location 9.9
50,Hotel 9,9.0,Zagreb,Wonderful ,"1,631 reviews",Price 477 zł,1.8 km from center,Standard Double Room,4,,
51,Studio Villa Antunovac,8.7,Zagreb,Excellent ,501 reviews,Price 211 zł,2.3 km from center,Queen Studio,3,,
52,Canopy by Hilton Zagreb City Centre,9.0,"Lower Town, Zagreb",Wonderful ,"1,827 reviews",Price 430 zł,1 km from center,Standard King Room,4,,
53,Rooms Lara,9.0,Zagreb,Wonderful ,132 reviews,Price 158 zł,2.9 km from center,Double Room,3,,
54,Rooms Zagreb 17,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,544 reviews,Price 253 zł,250 m from center,Comfort Double Room,4,,Location 9.9
55,DoubleTree by Hilton Zagreb,8.8,Zagreb,Excellent ,"3,326 reviews",Price 467 zł,2.3 km from center,King Guest Room,5,,
56,Neno,7.8,"Maksimir, Zagreb",Good ,446 reviews,Price 94 zł,2.1 km from center,Double Room,0,,
57,Hostel Bureau,8.3,"Lower Town, Zagreb",Very Good ,"2,146 reviews",Original price 94 zł. Current price 81 zł.,450 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.5
58,B&B Cool Centre Zagreb,8.8,"Lower Town, Zagreb",Excellent ,949 reviews,Price 244 zł,300 m from center,Standard Double Room,4,,Location 9.7
59,Apartments Lucky Place 2,9.0,"Lower Town, Zagreb",Wonderful ,906 reviews,Original price 235 zł. Current price 188 zł.,1 km from center,Studio,2,,Location 9.4
60,Mickey Mouse & Studio Mini,8.9,"Lower Town, Zagreb",Excellent ,405 reviews,Price 244 zł,150 m from center,Studio,3,,Location 9.8
61,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Price 235 zł,0.5 km from center,Studio Apartment,3,,Location 9.8
62,Hilton Garden Inn Zagreb - Radnička,8.8,Zagreb,Excellent ,"2,074 reviews",Price 406 zł,1.9 km from center,King Room,4,,
63,Hedonistic room Zagreb Center,10.0,"Lower Town, Zagreb",Exceptional ,1 review,Price 201 zł,1 km from center,Standard Double Room with Shared Bathroom,0,,Location 10
64,The Loop Hotel,8.8,Zagreb,Excellent ,"1,049 reviews",Price 398 zł,2.8 km from center,Superior Double Room,3,Breakfast included,
65,Hotel AS,9.0,"Upper Town – Medvescak, Zagreb",Wonderful ,441 reviews,Price 430 zł,1.6 km from center,Single Deluxe,4,Breakfast included,
66,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Price 253 zł,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
67,Apartment Lana,8.1,"Lower Town, Zagreb",Very Good ,910 reviews,Price 164 zł,0.6 km from center,Double Room with Shared Bathroom,0,,Location 9.4
68,Hotel Dubrovnik,8.8,"Lower Town, Zagreb",Excellent ,"3,667 reviews",Price 462 zł,100 m from center,Standard Single Room,4,Breakfast included,Location 9.8
69,Hotel 9,9.0,Zagreb,Wonderful ,"1,631 reviews",Price 477 zł,1.8 km from center,Standard Double Room,4,,
70,Hotel Academia,8.8,"Upper Town – Medvescak, Zagreb",Excellent ,"1,934 reviews",Price 481 zł,0.7 km from center,Twin Room,4,Breakfast included,Location 9.7
71,Livris Hotel,9.2,Zagreb,Wonderful ,"1,442 reviews",Price 313 zł,2.3 km from center,Budget Single Room,4,Breakfast included,
72,Premium Class Apartments II,9.3,"Lower Town, Zagreb",Wonderful ,78 reviews,Price 328 zł,50 m from center,One-Bedroom Apartment,4,,Location 9.8
73,King Tomislav Square Studio Apartments,,"Lower Town, Zagreb",,,Price 171 zł,0.7 km from center,Studio Apartment,0,,
74,The Dots Hostel,9.2,"Lower Town, Zagreb",Wonderful ,565 reviews,Price 235 zł,450 m from center,Single Room with Shared Bathroom,0,,Location 9.6
75,At queens,9.1,"Lower Town, Zagreb",Wonderful ,"1,027 reviews",Price 222 zł,0.7 km from center,Superior Apartment,3,,Location 9.5
76,The Loop Hotel,8.8,Zagreb,Excellent ,"1,049 reviews",Original price 398 zł. Current price 373 zł.,2.8 km from center,Superior Double Room,3,Breakfast included,
77,Hotel AS,9.0,"Upper Town – Medvescak, Zagreb",Wonderful ,441 reviews,Price 430 zł,1.6 km from center,Single Deluxe,4,Breakfast included,
78,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Original price 253 zł. Current price 237 zł.,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
79,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
80,Bumblebee Luxury Apartments,9.5,"Lower Town, Zagreb",Exceptional ,513 reviews,Original price 413 zł. Current price 386 zł.,0.6 km from center,One-Bedroom Apartment,4,,Location 9.7
81,Main Square Modern Apartments,9.4,"Lower Town, Zagreb",Wonderful ,473 reviews,Original price 258 zł. Current price 241 zł.,300 m from center,Studio Apartment,4,,Location 9.8
82,LOOX serviced apartments Hatzova,9.3,"Lower Town, Zagreb",Wonderful ,443 reviews,Price 328 zł,0.7 km from center,Studio Apartment,3,,Location 9.7
83,B&B Fotić,8.9,"Lower Town, Zagreb",Excellent ,354 reviews,Price 401 zł,400 m from center,Studio,4,Breakfast included,Location 9.6
84,Premium Class Apartments II,9.3,"Lower Town, Zagreb",Wonderful ,78 reviews,Original price 328 zł. Current price 307 zł.,50 m from center,One-Bedroom Apartment,4,,Location 9.8
85,B&B Schlosser,8.7,"Lower Town, Zagreb",Excellent ,894 reviews,Original price 430 zł. Current price 402 zł.,500 m from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.5
86,Apartments Lucky Place 2,9.0,"Lower Town, Zagreb",Wonderful ,906 reviews,Original price 235 zł. Current price 175 zł.,1 km from center,Studio,2,,Location 9.4
87,"Naomi app,Netflix,between bus and train station",9.3,"Lower Town, Zagreb",Wonderful ,46 reviews,Original price 205 zł. Current price 191 zł.,0.9 km from center,One-Bedroom Apartment,3,,
88,Annie's Bed&Breakfast,9.2,"Lower Town, Zagreb",Wonderful ,"1,301 reviews",Price 383 zł,0.9 km from center,Double Room with Private Bathroom,4,Breakfast included,
89,Apartment Nirvana,9.3,Zagreb,Wonderful ,161 reviews,Original price 197 zł. Current price 184 zł.,2 km from center,Apartment - Ground Floor,3,,
90,Guest House Nokturno,7.9,"Upper Town – Medvescak, Zagreb",Good ,715 reviews,Price 150 zł,200 m from center,Quadruple Room,3,,Location 9.5
91,Rooms Lidija,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,232 reviews,Price 197 zł,1.4 km from center,Standard Single Room,3,,Location 9.4
92,Hotel Jadran,8.5,"Lower Town, Zagreb",Very Good ,"1,951 reviews",Price 341 zł,0.6 km from center,Double Room,3,,Location 9.5
93,Hotel Jarun,9.4,"Jarun, Zagreb",Wonderful ,"1,348 reviews",Original price 493 zł. Current price 394 zł.,4.4 km from center,Double Room,3,,
94,Hotel Capital,9.4,"Lower Town, Zagreb",Wonderful ,515 reviews,Price 826 zł,400 m from center,Superior Double or Twin Room with Atrium View,4,,Location 9.9
95,Garden Hotel,7.9,"Lower Town, Zagreb",Good ,"2,821 reviews",Original price 355 zł. Current price 332 zł.,1.2 km from center,Economy Double Room,4,,
96,Apartments Lucky Place,9.1,"Lower Town, Zagreb",Wonderful ,639 reviews,Original price 282 zł. Current price 211 zł.,1 km from center,Studio with Double Bed,2,,Location 9.5
97,Mickey Mouse & Studio Mini,8.9,"Lower Town, Zagreb",Excellent ,405 reviews,Original price 244 zł. Current price 228 zł.,150 m from center,Studio,3,,Location 9.8
98,At queens,9.1,"Lower Town, Zagreb",Wonderful ,"1,027 reviews",Price 222 zł,0.7 km from center,Superior Apartment,3,,Location 9.5
99,Livris Hotel,9.2,Zagreb,Wonderful ,"1,442 reviews",Original price 313 zł. Current price 293 zł.,2.3 km from center,Budget Single Room,4,Breakfast included,
100,Bed & Breakfast Sky City Center,9.5,"Lower Town, Zagreb",Exceptional ,937 reviews,Price 501 zł,100 m from center,Double Room with Courtyard View,4,Breakfast included,Location 9.9
101,Palmers Lodge Hostel,7.8,"Lower Town, Zagreb",Good ,513 reviews,Price 130 zł,1 km from center,Bed in 4-Bed Female Dormitory Room,0,,
102,B&B Dolac,9.4,"Lower Town, Zagreb",Wonderful ,243 reviews,Original price 477 zł. Current price 446 zł.,50 m from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.9
103,King Tomislav Square Studio Apartments,,"Lower Town, Zagreb",,,Original price 171 zł. Current price 160 zł.,0.7 km from center,Studio Apartment,0,,
104,Bumblebee Luxury Apartments 2,9.4,"Lower Town, Zagreb",Wonderful ,274 reviews,Original price 469 zł. Current price 439 zł.,0.6 km from center,One-Bedroom Apartment,3,,Location 9.6
105,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Original price 253 zł. Current price 237 zł.,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
106,Rooms at Zajčeva 34,9.4,"Maksimir, Zagreb",Wonderful ,"1,595 reviews",Original price 369 zł. Current price 297 zł.,1.8 km from center,Superior Twin Room with City View,3,,
107,B&B Fontana,9.1,"Lower Town, Zagreb",Wonderful ,929 reviews,Price 430 zł,0.5 km from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.6
108,A8 b&b,9.5,"Lower Town, Zagreb",Exceptional ,195 reviews,Original price 477 zł. Current price 446 zł.,300 m from center,Double Room,4,Breakfast included,Location 9.9
109,Grand Bells Bed And Breakfast,8.8,"Upper Town – Medvescak, Zagreb",Excellent ,793 reviews,Price 383 zł,350 m from center,Deluxe Double Room with Extra Bed,3,Breakfast included,Location 9.9
110,Mickey Mouse Supilova 24,9.5,Zagreb,Exceptional ,259 reviews,Original price 244 zł. Current price 228 zł.,1.9 km from center,Superior Apartment,3,,Location 9.5
111,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
112,Fusion Apartments,8.5,"Lower Town, Zagreb",Very Good ,43 reviews,Original price 282 zł. Current price 263 zł.,300 m from center,One-Bedroom Apartment,4,,Location 9.4
113,Zagreb City Vibe Apartments & Rooms,8.1,"Lower Town, Zagreb",Very Good ,485 reviews,Price 282 zł,500 m from center,Double or Twin Room with City View,4,,Location 9.4
114,Hostel IN Club,8.7,Zagreb,Excellent ,345 reviews,Original price 188 zł. Current price 175 zł.,5.6 km from center,Single Room with Shared Bathroom,0,,
115,Maksimir-Rebro,9.1,"Maksimir, Zagreb",Wonderful ,394 reviews,Original price 235 zł. Current price 219 zł.,3 km from center,Apartment - Ground Floor,3,,
116,Apartmani Arena Zagreb,9.2,"Novi Zagreb, Zagreb",Wonderful ,234 reviews,Original price 169 zł. Current price 158 zł.,5.1 km from center,One-Bedroom Apartment,3,,
117,Hotel National,8.5,Zagreb,Very Good ,"1,174 reviews",Original price 383 zł. Current price 359 zł.,1.8 km from center,Budget Double Room,3,,
118,Apartments Lisinski,9.4,Zagreb,Wonderful ,"1,005 reviews",Original price 200 zł. Current price 187 zł.,1.5 km from center,Studio Apartment,3,,Location 9.3
119,MonikaRooms,9.3,Zagreb,Wonderful ,331 reviews,Original price 225 zł. Current price 211 zł.,2.6 km from center,Twin Room with Private Bathroom,3,,
120,Apartman DOWNTOWN DL,9.5,"Upper Town – Medvescak, Zagreb",Exceptional ,185 reviews,Original price 385 zł. Current price 360 zł.,50 m from center,One-Bedroom Apartment,4,,Location 9.9
121,Centar Guesthouse,8.6,"Lower Town, Zagreb",Excellent ,402 reviews,Price 216 zł,0.7 km from center,Quadruple Room,3,,Location 9.5
122,TOMISLAV,8.2,Zagreb,Very Good ,497 reviews,Price 141 zł,2.2 km from center,Twin Room,0,,
123,MINT BOUTIQUE STUDIO APARTMENTs II,9.7,"Lower Town, Zagreb",Exceptional ,309 reviews,Original price 513 zł. Current price 383 zł.,1 km from center,Deluxe Studio,4,,Location 9.7
124,Rooms Eliza,7.8,"Lower Town, Zagreb",Good ,240 reviews,Original price 188 zł. Current price 175 zł.,1.3 km from center,Quadruple Room with Private External Bathroom,2,,
125,Tia Apartments and Rooms,8.2,"Lower Town, Zagreb",Very Good ,394 reviews,Price 305 zł,0.9 km from center,Standard Twin Room,4,,Location 9.3
126,Apartman Grand,9.1,Zagreb,Wonderful ,171 reviews,Original price 244 zł. Current price 228 zł.,2.7 km from center,One-Bedroom Apartment,3,,
127,City Center Main Square Apartments Zagreb,9.6,"Lower Town, Zagreb",Exceptional ,341 reviews,Original price 338 zł. Current price 316 zł.,500 m from center,Studio with Balcony,4,,Location 9.7
128,"APARTMENT "" Studio Green """,8.8,Zagreb,Excellent ,151 reviews,Original price 177 zł. Current price 166 zł.,2.4 km from center,One-Bedroom Apartment,3,,
129,Four Roses,8.8,"Novi Zagreb, Zagreb",Excellent ,150 reviews,Price 220 zł,5.2 km from center,Deluxe Double Room with Shower,3,,
130,Main Square Modern Apartments,9.4,"Lower Town, Zagreb",Wonderful ,473 reviews,Original price 258 zł. Current price 241 zł.,300 m from center,Studio Apartment,4,,Location 9.8
131,Zagreb Spin&Fly,9.3,"Lower Town, Zagreb",Wonderful ,645 reviews,Price 357 zł,0.6 km from center,Studio Apartment,4,,Location 9.6
132,Dobar san,8.1,Zagreb,Very Good ,74 reviews,Original price 141 zł. Current price 132 zł.,4.9 km from center,Apartment - Ground Floor,3,,
133,Peace near the city center,9.5,"Upper Town – Medvescak, Zagreb",Exceptional ,16 reviews,Original price 228 zł. Current price 213 zł.,1.6 km from center,One-Bedroom Apartment,3,,
134,St. Marks Apartment 2,8.6,"Upper Town – Medvescak, Zagreb",Excellent ,108 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,4,,Location 9.4
135,Elenas Rooms & Apartment,9.4,"Lower Town, Zagreb",Wonderful ,883 reviews,Price 375 zł,350 m from center,Deluxe Double Room,4,,Location 9.8
136,LOOX serviced apartments Hatzova,9.3,"Lower Town, Zagreb",Wonderful ,443 reviews,Price 328 zł,0.7 km from center,Studio Apartment,3,,Location 9.7
137,Villa Zoki - soba dnevni najam,9.1,Zagreb,Wonderful ,121 reviews,Original price 151 zł. Current price 141 zł.,5.5 km from center,Deluxe Double or Twin Room,3,,
138,Random Room,9.1,Zagreb,Wonderful ,194 reviews,Original price 141 zł. Current price 132 zł.,8.2 km from center,Double Room,3,,
139,Marinac Apartment,8.1,"Upper Town – Medvescak, Zagreb",Very Good ,58 reviews,Original price 235 zł. Current price 219 zł.,150 m from center,Studio Apartment,3,,Location 9.8
140,B&B Concept,8.8,"Lower Town, Zagreb",Excellent ,764 reviews,Price 477 zł,0.9 km from center,Double Room with Private Bathroom,4,Breakfast included,
141,Apartment Gollner,9.6,"Lower Town, Zagreb",Exceptional ,126 reviews,Original price 258 zł. Current price 241 zł.,450 m from center,One-Bedroom Apartment,3,,Location 9.9
142,Artissimo Apartments,9.5,"Lower Town, Zagreb",Exceptional ,105 reviews,Original price 258 zł. Current price 241 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
143,Luxury Attic,9.6,Zagreb,Exceptional ,118 reviews,Original price 305 zł. Current price 290 zł.,5.8 km from center,Deluxe Studio,3,,
144,MKR Family Room,9.0,"Lower Town, Zagreb",Wonderful ,276 reviews,Original price 291 zł. Current price 226 zł.,150 m from center,Studio Apartment,3,,Location 9.8
145,MM House,8.8,Zagreb,Excellent ,377 reviews,Price 399 zł,4.8 km from center,Double Room with Balcony,4,Breakfast included,
146,Enter Rooms,8.9,Zagreb,Excellent ,49 reviews,Original price 324 zł. Current price 303 zł.,2 km from center,Double Room with Private Bathroom,0,,
147,INFINITY CENTAR Zagreb,9.4,"Lower Town, Zagreb",Wonderful ,181 reviews,Original price 328 zł. Current price 307 zł.,400 m from center,Deluxe Double Room,4,,Location 9.7
148,Apartments ZAGREB TALES,9.2,"Lower Town, Zagreb",Wonderful ,229 reviews,Original price 244 zł. Current price 228 zł.,0.7 km from center,One-Bedroom Apartment,3,,Location 9.7
149,Zagreb Sleep & Eat,9.3,"Lower Town, Zagreb",Wonderful ,634 reviews,Price 444 zł,400 m from center,One-Bedroom Apartment,4,,Location 9.8
150,Houzzz21,8.7,"Maksimir, Zagreb",Excellent ,378 reviews,Original price 160 zł. Current price 149 zł.,3.4 km from center,Standard Double Room with Shared Bathroom,4,,
151,Dežman Luxury Center,9.1,"Lower Town, Zagreb",Wonderful ,692 reviews,Price 469 zł,0.6 km from center,Deluxe Double Room,4,,Location 9.7
152,Hotel Forty Two,8.2,Zagreb,Very Good ,"1,998 reviews",Price 375 zł,3.3 km from center,Standard Double Room (2 Adults),3,Breakfast included,
153,Rooms XXL,6.6,"Novi Zagreb, Zagreb",Review score ,372 reviews,Price 235 zł,3.9 km from center,Triple Room,3,,
154,Studio Apartments City&style,9.4,"Lower Town, Zagreb",Wonderful ,282 reviews,Price 352 zł,0.7 km from center,Deluxe King Studio,4,,Location 9.6
155,DTA Hebrangova,9.0,"Lower Town, Zagreb",Wonderful ,211 reviews,Price 239 zł,0.5 km from center,Studio,3,,Location 9.6
156,HAPPY,7.7,"Lower Town, Zagreb",Good ,38 reviews,Price 232 zł,1.1 km from center,One-Bedroom Apartment,3,,
157,At queens,9.1,"Lower Town, Zagreb",Wonderful ,"1,027 reviews",Price 222 zł,0.7 km from center,Superior Apartment,3,,Location 9.5
158,Apartments S&A,9.1,"Upper Town – Medvescak, Zagreb",Wonderful ,27 reviews,Price 328 zł,0.5 km from center,One-Bedroom Apartment,4,,Location 9.9
159,Go2Zagreb,9.1,Zagreb,Wonderful ,15 reviews,Price 469 zł,1.1 km from center,Superior Apartment,0,,
160,Fusion Apartments,8.5,"Lower Town, Zagreb",Very Good ,43 reviews,Price 282 zł,300 m from center,One-Bedroom Apartment,4,,Location 9.4
161,Apartment Gollner,9.6,"Lower Town, Zagreb",Exceptional ,126 reviews,Price 258 zł,450 m from center,One-Bedroom Apartment,3,,Location 9.9
162,MKR Family Room,9.0,"Lower Town, Zagreb",Wonderful ,276 reviews,Original price 291 zł. Current price 241 zł.,150 m from center,Studio Apartment,3,,Location 9.8
163,Apartment Nirvana,9.3,Zagreb,Wonderful ,161 reviews,Price 197 zł,2 km from center,Apartment - Ground Floor,3,,
164,Zagreb Centar Apartman 90m2,9.0,Zagreb,Wonderful ,67 reviews,Price 296 zł,2.3 km from center,Two-Bedroom Apartment,3,Breakfast included,
165,Rooms at Zajčeva 34,9.4,"Maksimir, Zagreb",Wonderful ,"1,595 reviews",Original price 369 zł. Current price 297 zł.,1.8 km from center,Superior Twin Room with City View,3,,
166,Random Room,9.1,Zagreb,Wonderful ,194 reviews,Price 141 zł,8.2 km from center,Double Room,3,,
167,Villa Zrina,8.4,Zagreb,Very Good ,333 reviews,Price 263 zł,2 km from center,Single Room,3,,
168,Dalija apartman,9.4,Zagreb,Wonderful ,29 reviews,Price 235 zł,7.1 km from center,Apartment,3,,Location 9.6
169,Hotel Fala,8.0,Zagreb,Very Good ,"1,561 reviews",Price 307 zł,2.2 km from center,Economy Double Room,2,,
170,Apartman Grand,9.1,Zagreb,Wonderful ,171 reviews,Price 244 zł,2.7 km from center,One-Bedroom Apartment,3,,
171,ParkLife Zagreb Apartments,9.7,"Lower Town, Zagreb",Exceptional ,122 reviews,Original price 780 zł. Current price 617 zł.,1.3 km from center,Duplex Apartment with Park View ,4,,Location 9.4
